bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
216545,173559,text,129284,application/pdf,Introduced,https://legiscan.com/US/text/HB34/id/173559,https://www.congress.gov/112/bills/hr34/BILLS-112hr34ih.pdf
216546,173604,text,122371,application/pdf,Introduced,https://legiscan.com/US/text/HB35/id/173604,https://www.congress.gov/112/bills/hr35/BILLS-112hr35ih.pdf
216547,166764,text,129455,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/166764,https://www.congress.gov/112/bills/hr36/BILLS-112hr36ih.pdf
216548,173641,text,130867,application/pdf,Introduced,https://legiscan.com/US/text/HB37/id/173641,https://www.congress.gov/112/bills/hr37/BILLS-112hr37ih.pdf
216549,167445,text,118052,application/pdf,Introduced,https://legiscan.com/US/text/HB38/id/167445,https://www.congress.gov/112/bills/hr38/BILLS-112hr38ih.pdf
216550,173691,text,121565,application/pdf,Introduced,https://legiscan.com/US/text/HB39/id/173691,https://www.congress.gov/112/bills/hr39/BILLS-112hr39ih.pdf
216551,172474,text,138760,application/pdf,Introduced,https://legiscan.com/US/text/HB40/id/172474,https://www.congress.gov/112/bills/hr40/BILLS-112hr40ih.pdf
216552,173669,text,134699,application/pdf,Introduced,https://legiscan.com/US/text/HB41/id/173669,https://www.congress.gov/112/bills/hr41/BILLS-112hr41ih.pdf
216553,173704,text,124566,application/pdf,Introduced,https://legiscan.com/US/text/HB42/id/173704,https://www.congress.gov/112/bills/hr42/BILLS-112hr42ih.pdf
216554,172500,text,126187,application/pdf,Introduced,https://legiscan.com/US/text/HB43/id/172500,https://www.congress.gov/112/bills/hr43/BILLS-112hr43ih.pdf
216555,174399,text,139540,application/pdf,Introduced,https://legiscan.com/US/text/HB44/id/174399,https://www.congress.gov/112/bills/hr44/BILLS-112hr44ih.pdf
216556,172833,text,124245,application/pdf,Introduced,https://legiscan.com/US/text/HB45/id/172833,https://www.congress.gov/112/bills/hr45/BILLS-112hr45ih.pdf
216557,172564,text,124606,application/pdf,Introduced,https://legiscan.com/US/text/HB46/id/172564,https://www.congress.gov/112/bills/hr46/BILLS-112hr46ih.pdf
216558,173799,text,124149,application/pdf,Introduced,https://legiscan.com/US/text/HB47/id/173799,https://www.congress.gov/112/bills/hr47/BILLS-112hr47ih.pdf
216559,174133,text,122854,application/pdf,Introduced,https://legiscan.com/US/text/HB48/id/174133,https://www.congress.gov/112/bills/hr48/BILLS-112hr48ih.pdf
216560,165811,text,172722,application/pdf,Introduced,https://legiscan.com/US/text/HB49/id/165811,https://www.congress.gov/112/bills/hr49/BILLS-112hr49ih.pdf
216561,174622,text,122554,application/pdf,Introduced,https://legiscan.com/US/text/HB50/id/174622,https://www.congress.gov/112/bills/hr50/BILLS-112hr50ih.pdf
216562,174652,text,125479,application/pdf,Introduced,https://legiscan.com/US/text/HB51/id/174652,https://www.congress.gov/112/bills/hr51/BILLS-112hr51ih.pdf
216563,174692,text,124656,application/pdf,Introduced,https://legiscan.com/US/text/HB52/id/174692,https://www.congress.gov/112/bills/hr52/BILLS-112hr52ih.pdf
216564,174721,text,123769,application/pdf,Introduced,https://legiscan.com/US/text/HB53/id/174721,https://www.congress.gov/112/bills/hr53/BILLS-112hr53ih.pdf
216565,174730,text,124953,application/pdf,Introduced,https://legiscan.com/US/text/HB54/id/174730,https://www.congress.gov/112/bills/hr54/BILLS-112hr54ih.pdf
216566,174814,text,126014,application/pdf,Introduced,https://legiscan.com/US/text/HB55/id/174814,https://www.congress.gov/112/bills/hr55/BILLS-112hr55ih.pdf
216567,174800,text,134180,application/pdf,Introduced,https://legiscan.com/US/text/HB56/id/174800,https://www.congress.gov/112/bills/hr56/BILLS-112hr56ih.pdf
216568,174872,text,125465,application/pdf,Introduced,https://legiscan.com/US/text/HB57/id/174872,https://www.congress.gov/112/bills/hr57/BILLS-112hr57ih.pdf
216569,173269,text,124472,application/pdf,Introduced,https://legiscan.com/US/text/HB58/id/173269,https://www.congress.gov/112/bills/hr58/BILLS-112hr58ih.pdf
216570,174853,text,123938,application/pdf,Introduced,https://legiscan.com/US/text/HB59/id/174853,https://www.congress.gov/112/bills/hr59/BILLS-112hr59ih.pdf
216571,174859,text,118753,application/pdf,Introduced,https://legiscan.com/US/text/HB60/id/174859,https://www.congress.gov/112/bills/hr60/BILLS-112hr60ih.pdf
216572,174930,text,127159,application/pdf,Introduced,https://legiscan.com/US/text/HB61/id/174930,https://www.congress.gov/112/bills/hr61/BILLS-112hr61ih.pdf
216573,174910,text,135919,application/pdf,Introduced,https://legiscan.com/US/text/HB62/id/174910,https://www.congress.gov/112/bills/hr62/BILLS-112hr62ih.pdf
216574,167908,text,184252,application/pdf,Introduced,https://legiscan.com/US/text/HB63/id/167908,https://www.congress.gov/112/bills/hr63/BILLS-112hr63ih.pdf
216575,174905,text,125365,application/pdf,Introduced,https://legiscan.com/US/text/HB64/id/174905,https://www.congress.gov/112/bills/hr64/BILLS-112hr64ih.pdf
216576,188924,text,124718,application/pdf,Introduced,https://legiscan.com/US/text/HB65/id/188924,https://www.congress.gov/112/bills/hr65/BILLS-112hr65ih.pdf
216577,188919,text,137349,application/pdf,Introduced,https://legiscan.com/US/text/HB66/id/188919,https://www.congress.gov/112/bills/hr66/BILLS-112hr66ih.pdf
216578,173665,text,121387,application/pdf,Introduced,https://legiscan.com/US/text/HB67/id/173665,https://www.congress.gov/112/bills/hr67/BILLS-112hr67ih.pdf
216579,177024,text,124078,application/pdf,Introduced,https://legiscan.com/US/text/HB68/id/177024,https://www.congress.gov/112/bills/hr68/BILLS-112hr68ih.pdf
216580,177020,text,127126,application/pdf,Introduced,https://legiscan.com/US/text/HB69/id/177020,https://www.congress.gov/112/bills/hr69/BILLS-112hr69ih.pdf
216581,188935,text,129801,application/pdf,Introduced,https://legiscan.com/US/text/HB70/id/188935,https://www.congress.gov/112/bills/hr70/BILLS-112hr70ih.pdf
216582,173474,text,129526,application/pdf,Introduced,https://legiscan.com/US/text/HB71/id/173474,https://www.congress.gov/112/bills/hr71/BILLS-112hr71ih.pdf
216583,188936,text,123826,application/pdf,Introduced,https://legiscan.com/US/text/HB72/id/188936,https://www.congress.gov/112/bills/hr72/BILLS-112hr72ih.pdf
216584,188950,text,121790,application/pdf,Introduced,https://legiscan.com/US/text/HB73/id/188950,https://www.congress.gov/112/bills/hr73/BILLS-112hr73ih.pdf
216585,173782,text,124577,application/pdf,Introduced,https://legiscan.com/US/text/HB74/id/173782,https://www.congress.gov/112/bills/hr74/BILLS-112hr74ih.pdf
216586,177729,text,123963,application/pdf,Introduced,https://legiscan.com/US/text/HB75/id/177729,https://www.congress.gov/112/bills/hr75/BILLS-112hr75ih.pdf
216587,167969,text,130754,application/pdf,Introduced,https://legiscan.com/US/text/HB76/id/167969,https://www.congress.gov/112/bills/hr76/BILLS-112hr76ih.pdf
216588,173427,text,147440,application/pdf,Introduced,https://legiscan.com/US/text/HB77/id/173427,https://www.congress.gov/112/bills/hr77/BILLS-112hr77ih.pdf
216589,188958,text,121656,application/pdf,Introduced,https://legiscan.com/US/text/HB78/id/188958,https://www.congress.gov/112/bills/hr78/BILLS-112hr78ih.pdf
216590,188965,text,128522,application/pdf,Introduced,https://legiscan.com/US/text/HB79/id/188965,https://www.congress.gov/112/bills/hr79/BILLS-112hr79ih.pdf
216591,188964,text,137538,application/pdf,Introduced,https://legiscan.com/US/text/HB80/id/188964,https://www.congress.gov/112/bills/hr80/BILLS-112hr80ih.pdf
216592,177858,text,128934,application/pdf,Introduced,https://legiscan.com/US/text/HB81/id/177858,https://www.congress.gov/112/bills/hr81/BILLS-112hr81ih.pdf
216593,172321,text,143148,application/pdf,Introduced,https://legiscan.com/US/text/HB82/id/172321,https://www.congress.gov/112/bills/hr82/BILLS-112hr82ih.pdf
216594,172479,text,128793,application/pdf,Introduced,https://legiscan.com/US/text/HB83/id/172479,https://www.congress.gov/112/bills/hr83/BILLS-112hr83ih.pdf
216595,172337,text,135955,application/pdf,Introduced,https://legiscan.com/US/text/HB84/id/172337,https://www.congress.gov/112/bills/hr84/BILLS-112hr84ih.pdf
216596,188967,text,128830,application/pdf,Introduced,https://legiscan.com/US/text/HB85/id/188967,https://www.congress.gov/112/bills/hr85/BILLS-112hr85ih.pdf
216597,188968,text,125881,application/pdf,Introduced,https://legiscan.com/US/text/HB86/id/188968,https://www.congress.gov/112/bills/hr86/BILLS-112hr86ih.pdf
216598,165663,text,119936,application/pdf,Introduced,https://legiscan.com/US/text/HB87/id/165663,https://www.congress.gov/112/bills/hr87/BILLS-112hr87ih.pdf
216599,188972,text,121921,application/pdf,Introduced,https://legiscan.com/US/text/HB88/id/188972,https://www.congress.gov/112/bills/hr88/BILLS-112hr88ih.pdf
216600,172468,text,127018,application/pdf,Introduced,https://legiscan.com/US/text/HB89/id/172468,https://www.congress.gov/112/bills/hr89/BILLS-112hr89ih.pdf
216601,168428,text,133418,application/pdf,Introduced,https://legiscan.com/US/text/HB90/id/168428,https://www.congress.gov/112/bills/hr90/BILLS-112hr90ih.pdf
216602,165894,text,121363,application/pdf,Introduced,https://legiscan.com/US/text/HB91/id/165894,https://www.congress.gov/112/bills/hr91/BILLS-112hr91ih.pdf
216603,165921,text,134929,application/pdf,Introduced,https://legiscan.com/US/text/HB92/id/165921,https://www.congress.gov/112/bills/hr92/BILLS-112hr92ih.pdf
216604,189012,text,125978,application/pdf,Introduced,https://legiscan.com/US/text/HB93/id/189012,https://www.congress.gov/112/bills/hr93/BILLS-112hr93ih.pdf
216605,189001,text,125802,application/pdf,Introduced,https://legiscan.com/US/text/HB94/id/189001,https://www.congress.gov/112/bills/hr94/BILLS-112hr94ih.pdf
216606,165653,text,126018,application/pdf,Introduced,https://legiscan.com/US/text/HB95/id/165653,https://www.congress.gov/112/bills/hr95/BILLS-112hr95ih.pdf
216607,167750,text,124584,application/pdf,Introduced,https://legiscan.com/US/text/HB96/id/167750,https://www.congress.gov/112/bills/hr96/BILLS-112hr96ih.pdf
216608,167872,text,123772,application/pdf,Introduced,https://legiscan.com/US/text/HB97/id/167872,https://www.congress.gov/112/bills/hr97/BILLS-112hr97ih.pdf
216609,173750,text,153894,application/pdf,Introduced,https://legiscan.com/US/text/HB98/id/173750,https://www.congress.gov/112/bills/hr98/BILLS-112hr98ih.pdf
216610,165715,text,204329,application/pdf,Introduced,https://legiscan.com/US/text/HB99/id/165715,https://www.congress.gov/112/bills/hr99/BILLS-112hr99ih.pdf
216611,172801,text,156663,application/pdf,Introduced,https://legiscan.com/US/text/HB100/id/172801,https://www.congress.gov/112/bills/hr100/BILLS-112hr100ih.pdf
216612,165760,text,118273,application/pdf,Introduced,https://legiscan.com/US/text/HB101/id/165760,https://www.congress.gov/112/bills/hr101/BILLS-112hr101ih.pdf
216613,165741,text,126419,application/pdf,Introduced,https://legiscan.com/US/text/HB102/id/165741,https://www.congress.gov/112/bills/hr102/BILLS-112hr102ih.pdf
216614,167926,text,137660,application/pdf,Introduced,https://legiscan.com/US/text/HB103/id/167926,https://www.congress.gov/112/bills/hr103/BILLS-112hr103ih.pdf
216615,165783,text,125255,application/pdf,Introduced,https://legiscan.com/US/text/HB104/id/165783,https://www.congress.gov/112/bills/hr104/BILLS-112hr104ih.pdf
216616,165721,text,573993,application/pdf,Introduced,https://legiscan.com/US/text/HB105/id/165721,https://www.congress.gov/112/bills/hr105/BILLS-112hr105ih.pdf
216617,173082,text,126851,application/pdf,Introduced,https://legiscan.com/US/text/HB106/id/173082,https://www.congress.gov/112/bills/hr106/BILLS-112hr106ih.pdf
216618,173175,text,132591,application/pdf,Introduced,https://legiscan.com/US/text/HB107/id/173175,https://www.congress.gov/112/bills/hr107/BILLS-112hr107ih.pdf
216619,173171,text,228391,application/pdf,Introduced,https://legiscan.com/US/text/HB108/id/173171,https://www.congress.gov/112/bills/hr108/BILLS-112hr108ih.pdf
216620,173191,text,143446,application/pdf,Introduced,https://legiscan.com/US/text/HB109/id/173191,https://www.congress.gov/112/bills/hr109/BILLS-112hr109ih.pdf
216621,165846,text,144114,application/pdf,Introduced,https://legiscan.com/US/text/HB110/id/165846,https://www.congress.gov/112/bills/hr110/BILLS-112hr110ih.pdf
216622,168079,text,161028,application/pdf,Introduced,https://legiscan.com/US/text/HB111/id/168079,https://www.congress.gov/112/bills/hr111/BILLS-112hr111ih.pdf
216623,173267,text,148473,application/pdf,Introduced,https://legiscan.com/US/text/HB112/id/173267,https://www.congress.gov/112/bills/hr112/BILLS-112hr112ih.pdf
216624,165891,text,145540,application/pdf,Introduced,https://legiscan.com/US/text/HB113/id/165891,https://www.congress.gov/112/bills/hr113/BILLS-112hr113ih.pdf
216625,165867,text,181971,application/pdf,Introduced,https://legiscan.com/US/text/HB114/id/165867,https://www.congress.gov/112/bills/hr114/BILLS-112hr114ih.pdf
216626,165926,text,121844,application/pdf,Introduced,https://legiscan.com/US/text/HB115/id/165926,https://www.congress.gov/112/bills/hr115/BILLS-112hr115ih.pdf
216627,177041,text,122135,application/pdf,Introduced,https://legiscan.com/US/text/HB116/id/177041,https://www.congress.gov/112/bills/hr116/BILLS-112hr116ih.pdf
216628,165974,text,155534,application/pdf,Introduced,https://legiscan.com/US/text/HB117/id/165974,https://www.congress.gov/112/bills/hr117/BILLS-112hr117ih.pdf
216629,177059,text,122607,application/pdf,Introduced,https://legiscan.com/US/text/HB118/id/177059,https://www.congress.gov/112/bills/hr118/BILLS-112hr118ih.pdf
216630,167525,text,121213,application/pdf,Introduced,https://legiscan.com/US/text/HB119/id/167525,https://www.congress.gov/112/bills/hr119/BILLS-112hr119ih.pdf
216631,166153,text,125571,application/pdf,Introduced,https://legiscan.com/US/text/HB120/id/166153,https://www.congress.gov/112/bills/hr120/BILLS-112hr120ih.pdf
216632,167553,text,122475,application/pdf,Introduced,https://legiscan.com/US/text/HB121/id/167553,https://www.congress.gov/112/bills/hr121/BILLS-112hr121ih.pdf
216633,167486,text,122072,application/pdf,Introduced,https://legiscan.com/US/text/HB122/id/167486,https://www.congress.gov/112/bills/hr122/BILLS-112hr122ih.pdf
216634,167600,text,122370,application/pdf,Introduced,https://legiscan.com/US/text/HB123/id/167600,https://www.congress.gov/112/bills/hr123/BILLS-112hr123ih.pdf
216635,167532,text,122377,application/pdf,Introduced,https://legiscan.com/US/text/HB124/id/167532,https://www.congress.gov/112/bills/hr124/BILLS-112hr124ih.pdf
216636,174415,text,127028,application/pdf,Introduced,https://legiscan.com/US/text/HB125/id/174415,https://www.congress.gov/112/bills/hr125/BILLS-112hr125ih.pdf
216637,174635,text,125772,application/pdf,Introduced,https://legiscan.com/US/text/HB126/id/174635,https://www.congress.gov/112/bills/hr126/BILLS-112hr126ih.pdf
216638,165779,text,121300,application/pdf,Introduced,https://legiscan.com/US/text/HB127/id/165779,https://www.congress.gov/112/bills/hr127/BILLS-112hr127ih.pdf
216639,167595,text,122133,application/pdf,Introduced,https://legiscan.com/US/text/HB128/id/167595,https://www.congress.gov/112/bills/hr128/BILLS-112hr128ih.pdf
216640,167685,text,121522,application/pdf,Introduced,https://legiscan.com/US/text/HB129/id/167685,https://www.congress.gov/112/bills/hr129/BILLS-112hr129ih.pdf
216641,177878,text,124848,application/pdf,Introduced,https://legiscan.com/US/text/HB130/id/177878,https://www.congress.gov/112/bills/hr130/BILLS-112hr130ih.pdf
216642,167662,text,121927,application/pdf,Introduced,https://legiscan.com/US/text/HB131/id/167662,https://www.congress.gov/112/bills/hr131/BILLS-112hr131ih.pdf
216643,167620,text,126159,application/pdf,Introduced,https://legiscan.com/US/text/HB132/id/167620,https://www.congress.gov/112/bills/hr132/BILLS-112hr132ih.pdf
216644,167714,text,131430,application/pdf,Introduced,https://legiscan.com/US/text/HB133/id/167714,https://www.congress.gov/112/bills/hr133/BILLS-112hr133ih.pdf
216645,167692,text,121103,application/pdf,Introduced,https://legiscan.com/US/text/HB134/id/167692,https://www.congress.gov/112/bills/hr134/BILLS-112hr134ih.pdf
216646,167779,text,128660,application/pdf,Introduced,https://legiscan.com/US/text/HB135/id/167779,https://www.congress.gov/112/bills/hr135/BILLS-112hr135ih.pdf
216647,167758,text,128742,application/pdf,Introduced,https://legiscan.com/US/text/HB136/id/167758,https://www.congress.gov/112/bills/hr136/BILLS-112hr136ih.pdf
216648,165767,text,128589,application/pdf,Introduced,https://legiscan.com/US/text/HB137/id/165767,https://www.congress.gov/112/bills/hr137/BILLS-112hr137ih.pdf
216649,167789,text,142138,application/pdf,Introduced,https://legiscan.com/US/text/HB138/id/167789,https://www.congress.gov/112/bills/hr138/BILLS-112hr138ih.pdf
216650,167830,text,129352,application/pdf,Introduced,https://legiscan.com/US/text/HB139/id/167830,https://www.congress.gov/112/bills/hr139/BILLS-112hr139ih.pdf
216651,172442,text,123247,application/pdf,Introduced,https://legiscan.com/US/text/HB140/id/172442,https://www.congress.gov/112/bills/hr140/BILLS-112hr140ih.pdf
216652,165934,text,121759,application/pdf,Introduced,https://legiscan.com/US/text/HB141/id/165934,https://www.congress.gov/112/bills/hr141/BILLS-112hr141ih.pdf
216653,165764,text,128329,application/pdf,Introduced,https://legiscan.com/US/text/HB142/id/165764,https://www.congress.gov/112/bills/hr142/BILLS-112hr142ih.pdf
216654,167857,text,121501,application/pdf,Introduced,https://legiscan.com/US/text/HB143/id/167857,https://www.congress.gov/112/bills/hr143/BILLS-112hr143ih.pdf
216655,167853,text,128202,application/pdf,Introduced,https://legiscan.com/US/text/HB144/id/167853,https://www.congress.gov/112/bills/hr144/BILLS-112hr144ih.pdf
216656,165789,text,121918,application/pdf,Introduced,https://legiscan.com/US/text/HB145/id/165789,https://www.congress.gov/112/bills/hr145/BILLS-112hr145ih.pdf
216657,167884,text,126275,application/pdf,Introduced,https://legiscan.com/US/text/HB146/id/167884,https://www.congress.gov/112/bills/hr146/BILLS-112hr146ih.pdf
