people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
9041,"Keith Ellison",Keith,,Ellison,,,1,D,1,Rep,HD-MN-5,6515997,38982,N00028257,Keith_Ellison_(Minnesota),212972,0
9042,"Sam Farr",Sam,,Farr,,,1,D,1,Rep,HD-CA-20,2022689,26745,N00007312,Sam_Farr,158734,0
9043,"Chaka Fattah",Chaka,,Fattah,,,1,D,1,Rep,HD-PA-2,16565456,21850,N00001746,Chaka_Fattah,159032,0
9044,"Bob Filner",Bob,,Filner,,,1,D,1,Rep,HD-CA-51,16413120,26774,N00007033,Bob_Filner,158767,0
9045,"Marcia Fudge",Marcia,L.,Fudge,,,1,D,1,Rep,HD-OH-11,14904741,110640,N00030490,Marcia_Fudge,271756,0
9046,"Gabrielle Giffords",Gabrielle,,Giffords,,,1,D,1,Rep,HD-AZ-8,1312481,28507,N00027829,Gabrielle_Giffords,205848,0
9047,"Kirsten Gillibrand",Kirsten,E.,Gillibrand,,,1,D,2,Sen,HD-NY-20,1577524,65147,N00027658,Kirsten_Gillibrand,248345,0
9048,"Charles Gonzalez",Charles,A.,Gonzalez,,,1,D,1,Rep,HD-TX-20,0,25445,N00005960,Charles_Gonzalez,159090,0
9050,"Al Green",Al,,Green,,,1,D,1,Rep,HD-TX-9,11567524,49680,N00026686,Al_Green_(Texas),226547,0
9051,"Raul Grijalva",Raul,M.,Grijalva,,,1,D,1,Rep,HD-AZ-3,17657668,28253,N00025284,Raul_Grijalva,211719,0
9052,"Luis Gutierrez",Luis,V.,Gutierrez,,,1,D,1,Rep,HD-IL-4,12430974,26841,N00004874,Luis_Gutierrez,158831,0
9056,"Alcee Hastings",Alcee,L.,Hastings,,,1,D,1,Rep,HD-FL-20,17657879,26798,N00002884,Alcee_Hastings,158806,0
9057,"Martin Heinrich",Martin,,Heinrich,,,1,D,1,Rep,HD-NM-1,8939798,74517,N00029835,Martin_Heinrich,266934,0
9058,"Brian Higgins",Brian,,Higgins,,,1,D,1,Rep,HD-NY-26,4689854,23127,N00027060,Brian_Higgins,197797,0
9059,"James Himes",James,A.,Himes,,,1,D,1,Rep,HD-CT-4,14257522,106744,N00029070,Jim_Himes,266938,0
